ID,SEQUENCE,POS
821,The beautiful harbour opposite the main town of Neiafu ( known as the Port of Refuge Harbour ) is a common destination for yachties sailing the South Pacific .,DT JJ NN IN DT JJ NN IN NNP -LRB- VBN IN DT NNP IN NNP NNP -RRB- VBZ DT JJ NN IN NNS VBG DT NNP NNP .
822,"In a shady garden bed , simply scatter the seeds on the soil .","IN DT JJ NN NN , RB VB DT NNS IN DT NN ."
823,Definitely old .,RB JJ .
824,"As a previous step to designing the mutation operators , we analyzed the main technologies used specifically in the development of GIS , and we identified typical errors a programmer can introduce during the development .","IN DT JJ NN IN VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NNS , CC PRP VBD JJ NNS DT NN MD VB IN DT NN ."
825,"When the elements copper ( a shiny , red - brown solid , shown here as brown spheres ) and oxygen ( a clear and colorless gas , shown here as red spheres ) react , their atoms rearrange to form a compound containing copper and oxygen ( a powdery , black solid ) .","WRB DT NNS NN -LRB- DT JJ , JJ HYPH JJ NN , VBN RB IN JJ NNS -RRB- CC NN -LRB- DT JJ CC JJ NN , VBN RB IN JJ NNS -RRB- VBP , PRP$ NNS VBP TO VB DT NN VBG NN CC NN -LRB- DT JJ , JJ NN -RRB- ."
826,"They can cause property damage , create a mess , and produce unpleasant smells .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS ."
827,"Please note that if departing from Europe ( this may apply to other countries ) , you will require to have the visa before boarding the plane .","UH VB IN IN VBG IN NNP -LRB- DT MD VB IN JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN ."
828,Percentiles are useful for comparing values .,NNS VBP JJ IN VBG NNS .
829,Oh really .,UH RB .
830,Play the game !,VB DT NN .
831,"At the end of his life the Tsar , who had visited Gordon frequently during his illness , was with him when he died , and with his own hands closed his eyes .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS ."
832,"I still believe in the kind of America which I described in this hall 3 years ago , and I am still determined that this Nation shall continue to strive to meet those goals .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB JJ IN DT NN MD VB TO VB TO VB DT NNS ."
833,Bats : Left,VBZ : RB
834,It goes like this .,PRP VBZ IN DT .
835,"His daughter was married firstly to the German - Russian Colonel Rudolf Strasburgh , and then married from 1699 or 1700 to his kinsman in the Russian service Alexander Gordon of Auchintoul , author of "" The History of Peter the Great , Emperor of Russia "" .","PRP$ NN VBD VBN RB IN DT JJ HYPH JJ NNP NNP NNP , CC RB VBN IN CD CC CD IN PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN `` DT NNP IN NNP DT NNP , NNP IN NNP '' ."
836,"And she had been a stupid girl , anyway .","CC PRP VBD VBN DT JJ NN , RB ."
837,It is Tuesday and today I got pulled to ultrasound .,PRP VBZ NNP CC NN PRP VBD VBN IN NN .
838,"The Olmec also developed a system of trade throughout Mesoamerica , giving rise to an elite class .","DT NNPS RB VBD DT NN IN NN IN NNP , VBG NN IN DT JJ NN ."
839,"In the past few days , however , it has become evident to me that I no longer have a strong enough political base in the Congress to justify continuing that effort .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ IN PRP IN PRP RB RBR VBP DT JJ RB JJ NN IN DT NNP TO VB VBG DT NN ."
840,"Monks are an integral part of Buddhism in Thailand , and Thai men are generally expected to spend a certain amount of time living as a monk at least once in their lifetime .","NNS VBP DT JJ NN IN NNP IN NNP , CC JJ NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN ."
841,"they need to be planted 6 inches apart , since they grow quite large .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ ."
842,"Posts on the message board for the Scientology - critic site Operation Clambake from Friday theorized that a denial - of - service attack had occurred , and wrote that as of Friday the Scientology.org site was either not loading at all , or loading very slowly .","NNS IN DT NN NN IN DT NNP HYPH NNP NN NNP NNP IN NNP VBD IN DT NN HYPH IN HYPH NN NN VBD VBN , CC VBD IN IN IN NNP DT NNP NN VBD CC RB VBG IN DT , CC VBG RB RB ."
843,""" No , "" she said .","`` UH , '' PRP VBD ."
844,"Abolitionists and their Republican supporters in Congress worked to correct this discriminatory practice , and in 1864 , Black soldiers began to receive the same pay as White soldiers plus retroactive pay to 1863 ( Figure 15.17 ) .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , JJ NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN IN CD -LRB- NNP CD -RRB- ."
845,Hey friends !,UH NNS .
846,"According to Wilkins , Warhol was able to reproduce the Polaroid photograph and create an enlargement of it , which he then could use to commit the image to the silk screen medium by applying paint or manipulating them further .","VBG IN NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN IN DT NN NN NN IN VBG NN CC VBG PRP RBR ."
847,Down at the back .,RB IN DT NN .
848,Obtain Beavertail cuttings .,VB NNP NNS .
849,"In addition , we reduced the total tail mass to 15 % body mass from the 20 % body mass used by Carrano and Biewener .","IN NN , PRP VBD DT JJ NN NN IN CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP ."
850,I never wanted to make politics a career .,PRP RB VBD TO VB NN DT NN .
851,"For some goods , geography affects specialization .","IN DT NNS , NN VBZ NN ."
852,"Then we stood , unable to keep from staring at the stranger , who faced us awkwardly , half - smiling , taller than any man there .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , NN HYPH VBG , JJR IN DT NN RB ."
853,A similar pattern often operates within businesses .,DT JJ NN RB VBZ IN NNS .
854,This is a problem .,DT VBZ DT NN .
855,We carved out little squares for the ants to live in ( covered with old CD covers to prevent them escaping ! ) .,PRP VBD RP JJ NNS IN DT NNS TO VB IN -LRB- VBN IN JJ NN NNS TO VB PRP VBG . -RRB- .
856,"You and I , as individuals , can , by borrowing , live beyond our means , but for only a limited period of time .","PRP CC PRP , IN NNS , MD , IN VBG , VB IN PRP$ NNS , CC IN RB DT VBN NN IN NN ."
857,I,CD
858,St Anne a very nice but also very touristy city and beach ( maybe the tourists primary area of Guadeloupe ) .,NNP NNP DT RB JJ CC RB RB JJ NN CC NN -LRB- RB DT NNS JJ NN IN NNP -RRB- .
859,So I hit okay ?,RB PRP VBP RB .
860,It is likely that the shock will dislocate or break both your arms ; nevertheless this is a small price to pay for your life .,PRP VBZ JJ IN DT NN MD VB CC VB DT PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .
861,Journal of Personality and Social Psychology . 92 ( 6 ) : 1087 _ 1101 . doi:10.1037/0022-3514.92.6.1087 . PMID 17547490 .,NNP IN NNP CC NNP NNP . CD -LRB- CD -RRB- : CD SYM CD . NNP . NNP CD .
862,Take up as much space as you can to dance until everyone is staring at you . [ 3 ],VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . -LRB- CD -RRB-
863,"We may have to try something on our own , then .","PRP MD VB TO VB NN IN PRP$ JJ , RB ."
864,"The paper - type twist ties will deteriorate a little , but the dryer filter screen will catch the fallout .","DT NN HYPH NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN ."
865,What we are talking about here is called grit or resilience .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .
866,"Thursday , May 7 , 2015","NNP , NNP CD , CD"
867,Australian woman claims Church of Scientology imprisoned her for twelve years,JJ NN VBZ NNP IN NNP VBN PRP IN CD NNS
868,Modern Olympic Games,JJ NNP NNPS
869,Say you want to fly from Chicago to Rome .,VB PRP VBP TO VB IN NNP IN NNP .
870,( credit : Ken Thomas ),-LRB- NN : NNP NNP -RRB-
871,In a flash the fairy was out of my nose and gone .,IN DT NN DT NN VBD IN IN PRP$ NN CC JJ .
872,The Union also feared for the fate of captured Black soldiers .,DT NNP RB VBD IN DT NN IN VBN JJ NNS .
873,Look at her .,VB IN PRP .
874,Peppermint oil is a natural deterrent .,NN NN VBZ DT JJ NN .
875,The airport offers free short term parking ( first half - hour free ) .,DT NN VBZ JJ JJ NN NN -LRB- JJ NN HYPH NN JJ -RRB- .
876,"Our plan is to organize a maximum of 6 clinics , each one full day .","PRP$ NN VBZ TO VB DT NN IN CD NNS , DT CD JJ NN ."
877,My hair looks like a mess .,PRP$ NN VBZ IN DT NN .
878,"_ Sorry , Mrs. Claus .","`` JJ , NNP NNP ."
879,This is possible because we release all of our software under the Open Source GPL license and release our content under a Creative Commons license .,DT VBZ JJ IN PRP VBP DT IN PRP$ NN IN DT NNP NNP NNP NN CC VBP PRP$ NN IN DT NNP NNP NN .
880,"The islands are in their own time zone , 45 minutes ahead of New Zealand time ;","DT NNS VBP IN PRP$ JJ NN NN , CD NNS RB IN NNP NNP NN :"
881,Understand,VB
882,"Take the quinoa off the heat and let stand , covered , for 5 minutes .","VB DT NN IN DT NN CC VB VB , VBN , IN CD NNS ."
883,"And there was a heavier sound , a rasp , like a box pulled over concrete .","CC EX VBD DT JJR NN , DT NN , IN DT NN VBN IN NN ."
884,Isfahan,NNP
885,"High - tech industry began to flourish after World War II , and since that time the growth of Phoenix has been explosive .","JJ HYPH NN NN VBD TO VB IN NNP NNP CD , CC IN DT NN DT NN IN NNP VBZ VBN JJ ."
886,Every time I got up .,DT NN PRP VBD RP .
887,"And you brought an action , against uh Matthew Collins , for um , roughly seven - hundred dollars , for labor installing a carpet .","CC PRP VBD DT NN , IN UH NNP NNP , IN UH , RB CD HYPH CD NNS , IN NN VBG DT NN ."
888,Islamic terrorism is eating up large portions of the Middle East .,JJ NN VBZ VBG RP JJ NNS IN DT NNP NNP .
889,And _,CC :
890,"On September 24 , 1944 , a group of Japanese ships were sunk by American warplanes in Coron waters as the ships retreated from Manila Bay .","IN NNP CD , CD , DT NN IN JJ NNS VBD VBN IN JJ NNS IN NNP NNS IN DT NNS VBD IN NNP NNP ."
891,We are run as a Hybrid Organization - a for-profit company focused on achieving a social good .,PRP VBP VBN IN DT JJ NN : DT JJ NN VBN IN VBG DT JJ NN .
892,"Padalecki was born in San Antonio , Texas , to Gerald and Sherri Padalecki . [ 1 ] [ 2 ]","NNP VBD VBN IN NNP NNP , NNP , IN NNP CC NNP NNP . -LRB- CD -RRB- -LRB- CD -RRB-"
893,"The rate of unemployment and idle capacity has been cut , and our economy of the United States will shortly pass the $ 600 billion mark , for a record rise -- for a record rise in 3 years of $ 100 billion -- the largest peacetime rise in the history of the United States .","DT NN IN NN CC JJ NN VBZ VBN VBN , CC PRP$ NN IN DT NNP NNPS MD RB VB DT $ CD CD NN , IN DT JJ NN : IN DT JJ NN IN CD NNS IN $ CD CD : DT JJS NN NN IN DT NN IN DT NNP NNPS ."
894,This is the high season for tourism ;,DT VBZ DT JJ NN IN NN :
895,1 Snitch ( person ),CD NN -LRB- NN -RRB-
896,"I have to get like this close to be able to smell the candle , which is insane because those candles are so strong , you literally open one up and you can smell it all over your room .","PRP VBP TO VB UH RB RB TO VB JJ TO VB DT NN , WDT VBZ JJ IN DT NNS VBP RB JJ , PRP RB VBP CD RP CC PRP MD VB PRP RB IN PRP$ NN ."
897,AFRICAN AMERICAN SOLDIERS,JJ JJ NNS
898,Image : R Saravanan .,NN : NNP NNP .
899,Wait .,VB .
900,The IQR can help to determine potential outliers .,DT NNP MD VB TO VB JJ NNS .
901,Nonna!,NNP
902,He was the co-founder of the National Democratic Party in Iraq .,PRP VBD DT NN IN DT NNP NNP NNP IN NNP .
903,Microsoft has replaced it with three newer versions .,NNP VBZ VBN PRP IN CD JJR NNS .
904,"Jump from one bed to the other , like a child .","VB IN CD NN IN DT JJ , IN DT NN ."
905,"Emperor Joshua Norton , in full military regalia , circa 1880 or earlier","NNP NNP NNP , IN JJ JJ NNS , FW CD CC RBR"
906,I intend to honor that trust with all of my energy and with joy .,PRP VBP TO VB DT NN IN DT IN PRP$ NN CC IN NN .
907,And we were off .,CC PRP VBD RB .
908,"A research team from the Massachusetts Institute of Technology and Colorado State University of the US and the University of Sheffield of the UK has analysed effects of global warming and ozone pollution over 2000 - 2050 on the worldwide production of wheat , rice , maize and soybean .","DT NN NN IN DT NNP NNP IN NNP CC NNP NNP NNP IN DT NNP CC DT NNP IN NNP IN DT NNP VBZ VBN NNS IN JJ NN CC NN NN IN CD SYM CD IN DT JJ NN IN NN , NN , NN CC NN ."
909,"She also claims that in 1997 and 1998 , she was tasked with removal of asbestos from the ship .","PRP RB VBZ IN IN CD CC CD , PRP VBD VBN IN NN IN NN IN DT NN ."
910,"However , Socotra is a perfect destination for the adventurous and nature loving travelers .","RB , NNP VBZ DT JJ NN IN DT JJ CC NN JJ NNS ."
911,"All you do is like go , t- two over one .","DT PRP VBP VBZ UH VB , UH CD IN CD ."
912,Prepare for impact .,VB IN NN .
913,Freight charges on the Rangatira appear to be flexible and subject to change .,NN NNS IN DT NNP VBP TO VB JJ CC JJ IN NN .
914,He graduated summa cum laude from the University of California in 1936 .,PRP VBD FW FW FW IN DT NNP IN NNP IN CD .
915,"There are precedents of independent governors dealing effectively with the legislature , and indeed a wise third - party governor can have greater effectiveness than a major party governor .","EX VBP NNS IN JJ NNS VBG RB IN DT NN , CC RB DT JJ JJ HYPH NN NN MD VB JJR NN IN DT JJ NN NN ."
916,"Fresh basil not only tastes better than dried , it actually tastes different , almost as if it were not the same herb .","JJ NN RB RB VBZ RBR IN VBN , PRP RB VBZ JJ , RB IN IN PRP VBD RB DT JJ NN ."
917,I feel ugly all the time .,PRP VBP JJ PDT DT NN .
918,Pop culture celebrated at Fan Expo Canada 2016 in Toronto,JJ NN VBN IN NNP NNP NNP CD IN NNP
919,"For example , for the category of civil disobedience , your prototype could be Rosa Parks .","IN NN , IN DT NN IN JJ NN , PRP$ NN MD VB NNP NNP ."
920,From C to D he drove more slowly because the police car was behind him .,IN NNP IN NNP PRP VBD RBR RB IN DT NN NN VBD IN PRP .
921,"At the beginning of 1945 , the population was estimated at 300,000 .","IN DT NN IN CD , DT NN VBD VBN IN CD ."
922,"However , this trend has been broken since antiquity for various reasons ( Parry ( 1929 ) on Homer , or Flores Gómez ( 1988 ) on early classical poetry ) .","RB , DT NN VBZ VBN VBN IN NN IN JJ NNS -LRB- NNP -LRB- CD -RRB- IN NNP , CC NNP NNP -LRB- CD -RRB- IN JJ JJ NN -RRB- ."
923,"Monday , March 27 , 2006","NNP , NNP CD , CD"
924,I know .,PRP VBP .
925,"This may be an attempt to play dead , discouraging predators that prefer live prey .","DT MD VB DT NN TO VB JJ , VBG NNS WDT VBP JJ NN ."
926,Get in,VB RB
927,Tulsa has an extensive interconnected paved bike trail system .,NNP VBZ DT JJ JJ JJ NN NN NN .
928,"Once the vodka is cold , it should be syrupy .","IN DT NN VBZ JJ , PRP MD VB JJ ."
929,"Take a sieve , line it with a piece of cheesecloth ( muslin ) or a coffee filter , place above a large jug and pour the vodka through slowly .","VB DT NN , VB PRP IN DT NN IN NN -LRB- NN -RRB- CC DT NN NN , VB IN DT JJ NN CC VB DT NN RP RB ."
930,"All offices also have free copies of Yucatan Today , a helpful weekly Spanish - English publication listing all events in the city and the surrounding region .","DT NNS RB VBP JJ NNS IN NNP NNP , DT JJ JJ JJ HYPH JJ NN VBG DT NNS IN DT NN CC DT VBG NN ."
931,"They also upload it to the public cloud , which then uploads it to a distributed ledger to make sure that nobody can modify those numbers after the fact .","PRP RB VBP PRP IN DT JJ NN , WDT RB VBZ PRP IN DT VBN NN TO VB JJ IN NN MD VB DT NNS IN DT NN ."
932,You nod .,PRP VBP .
933,"We expected that the use of a training session and then the format of the question would guide participants towards evaluating pragmatic felicity over providing truth value judgments , and would result in adult - like interpretations .","PRP VBD IN DT NN IN DT NN NN CC RB DT NN IN DT NN MD VB NNS IN VBG JJ NN IN VBG NN NN NNS , CC MD VB IN NN HYPH JJ NNS ."
934,Keep all food stored properly in airtight containers or in places that are safe from mouse attack . [ 1 ],VB DT NN VBN RB IN JJ NNS CC IN NNS WDT VBP JJ IN NN NN . -LRB- CD -RRB-
935,"Your Santorum cocktail creation has already received media coverage from publications including ; The Brooklyn Paper , The New York Times , Jezebel , Metro.us , EDGE on the Net , and Instinct Magazine .","PRP$ NNP NN NN VBZ RB VBN NNS NN IN NNS VBG : DT NNP NNP , DT NNP NNP NNP , NNP , NNP , NNP IN DT NNP , CC NNP NNP ."
936,"More recently , he erred in accepting a transportation bill that had huge flaws and huge tax increases , rather than prioritizing spending and seeking more rational , efficient , decentralized transportation decision - making .","RBR RB , PRP VBD IN VBG DT NN NN WDT VBD JJ NNS CC JJ NN NNS , RB IN VBG NN CC VBG RBR JJ , JJ , JJ NN NN HYPH NN ."
937,Or you could just scoop them out when the color dissolves .,CC PRP MD RB VB PRP RP WRB DT NN VBZ .
938,Life,NN
939,Each time I have done so to discuss with you some matter that I believe affected the national interest .,DT NN PRP VBP VBN RB TO VB IN PRP DT NN WDT PRP VBP VBD DT JJ NN .
940,Betty wiped her fingers on a hand - towel .,NNP VBD PRP$ NNS IN DT NN HYPH NN .
941,"A good stand of it , if you want any .","DT JJ NN IN PRP , IN PRP VBP DT ."
942,"If you live in an area with strong summer sun , position the cuttings so that the broad sides of the cuttings face east and west while the slim sides face north and south .","IN PRP VBP IN DT NN IN JJ NN NN , VB DT NNS IN IN DT JJ NNS IN DT NNS VBP RB CC RB IN DT JJ NNS VBP RB CC RB ."
943,"When annoying people on an elevator , keep your pranks lighthearted and fun as opposed to mean - spirited so that everyone leaving the elevator will have a pleasant story to tell .","WRB VBG NNS IN DT NN , VB PRP$ NNS JJ CC JJ RB VBN IN JJ HYPH VBN IN IN NN VBG DT NN MD VB DT JJ NN TO VB ."
944,The competition from the [ FIFA ] World Cup and all .,DT NN IN DT -LRB- NNP -RRB- NNP NNP CC DT .
945,"Traffic congestion on the main arterial roads serving the city ( especially the A19 on Bootham and the Inner Ring Road ) can get very bad , especially during the rush hours and on Saturday mornings .","NN NN IN DT JJ JJ NNS VBG DT NN -LRB- RB DT NNP IN NNP CC DT NNP NNP NNP -RRB- MD VB RB JJ , RB IN DT NN NNS CC IN NNP NNS ."
946,shorts are primarily worn by laborers and schoolchildren .,NN VBP RB VBN IN NNS CC NNS .
947,"Charles Bolden , NASA Administrator","NNP NNP , NNP NNP"
948,He made his first attempt to learn Hebrew under the guidance of a converted Jew ; and he seems to have been in correspondence with Jewish Christians in Antioch .,PRP VBD PRP$ JJ NN TO VB NNP IN DT NN IN DT VBN NN : CC PRP VBZ TO VB VBN IN NN IN JJ NNS IN NNP .
949,_ Are you still there ? _ I called .,`` VBP PRP RB RB . '' PRP VBD .
950,For this we basically put colonies on a diet of either food with medicine or without for a while .,IN DT PRP RB VBD NNS IN DT NN IN CC NN IN NN CC IN IN DT NN .
951,"In the core of the city , named avenues run north / south and are named after US cities , generally in repeating alphabetical order ( for example , Winston - Yale - Allegheny - Braden ) .","IN DT NN IN DT NN , VBN NNS VBP RB SYM RB CC VBP VBN IN NNP NNS , RB IN VBG JJ NN -LRB- IN NN , NNP : NNP : NNP : NNP -RRB- ."
952,"For lymphoscintigraphies we basically inject technetium in skin surrounding a melanoma and after we inject we wait about 15 - 20 minutes , maybe up to an hour , and wait for that radio tracer to travel to the closest lymph node which we would call the sentinel lymph node .","IN NNS PRP RB VBP NN IN NN VBG DT NN CC IN PRP VBP PRP VBP RB CD SYM CD NNS , RB IN IN DT NN , CC VBP IN DT NN NN TO VB IN DT JJS NN NN WDT PRP MD VB DT NN NN NN ."
953,Personal appearance is very important in Thailand as a measure of respect to other people .,JJ NN VBZ RB JJ IN NNP IN DT NN IN NN IN JJ NNS .
954,Public health staff will remain in touch with individuals to monitor the situation and give ongoing advice .,JJ NN NN MD VB IN NN IN NNS TO VB DT NN CC VB JJ NN .
955,"Except at the beach or at sacred sites normal western dress is acceptable for both men and women , except that you should avoid clothing showing a lot of skin .","IN IN DT NN CC IN JJ NNS JJ JJ NN VBZ JJ IN CC NNS CC NNS , IN IN PRP MD VB NN VBG DT NN IN NN ."
956,My knowledge of the responsiveness of the Indian government to this storm is purely from the cyber space .,PRP$ NN IN DT NN IN DT JJ NN IN DT NN VBZ RB IN DT JJ NN .
957,I get it .,PRP VBP PRP .
958,They think that modernity may endanger their tradition .,PRP VBP IN NN MD VB PRP$ NN .
959,ChangeCoordSys Operator ( Listing 1 ) :,NNP NNP -LRB- NNP CD -RRB- :
960,"Coase [ 13 , 14 ] argues that economic transactions involve costs , and where these costs outweigh the gains , the exchange will not take place .","NNP -LRB- CD , CD -RRB- VBZ IN JJ NNS VBP NNS , CC WRB DT NNS VBP DT NNS , DT NN MD RB VB NN ."
961,"The waters of the islands are known for their clarity , it being said that you can see the bottom at 40 metres .","DT NNS IN DT NNS VBP VBN IN PRP$ NN , PRP VBG VBN IN PRP MD VB DT NN IN CD NNS ."
962,"The Polaroids were all donated by the Andy Warhol Photographic Legacy Program , according to Kristen Wilkins , assistant professor of photography and curator of the exhibit .","DT NNS VBD RB VBN IN DT NNP NNP NNP NNP NNP , VBG IN NNP NNP , JJ NN IN NN CC NN IN DT NN ."
963,"The regional policy of my Government is guided by the motto : ' the more integrated in the region , the more integrated in Europe . '","DT JJ NN IN PRP$ NN VBZ VBN IN DT NN : `` DT RBR VBN IN DT NN , DT RBR VBN IN NNP . ''"
964,Place a cotton ball under or near your garbage can to deter mice from getting into it .,VB DT NN NN IN CC IN PRP$ NN NN TO VB NNS IN VBG IN PRP .
965,"Yeah , should I put this on YouTube ?","UH , MD PRP VB DT IN NNP ."
966,The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose - built surroundings .,DT NNP NNP IN NNP NNP VBZ DT JJ NNP NN IN DT JJ NN VBN FW FW IN NN HYPH VBN NNS .
967,"They felt it was overdone , mean - spirited and not funny .","PRP VBD PRP VBD VBN , JJ HYPH VBN CC RB JJ ."
968,"The driving force behind this battery of calls , commentaries , infrastructure , and metascience is a perceived crisis in the state of replication research .","DT JJ NN IN DT NN IN NNS , NNS , NN , CC NN VBZ DT VBN NN IN DT NN IN NN NN ."
969,"Marbles has been in a relationship with fellow YouTuber Julien Solomita since 2013 , and the two live together in California with their four dogs , Marbles , Kermit , Peach and Bunny , who regularly appear in her videos . [ 26 ]","NNP VBZ VBN IN DT NN IN JJ NNP NNP NNP IN CD , CC DT CD VBP RB IN NNP IN PRP$ CD NNS , NNP , NNP , NNP CC NNP , WP RB VBP IN PRP$ NNS . -LRB- CD -RRB-"
970,"He had effervescent tablets that turned the canteen drinking water into that exact same pink mixture that the dentist gave you to rinse your mouth out after scraping around inside , and guaranteed to make the other kids splutter and spit it out when the taste slowly percolated through and met the memory of their last checkup .","PRP VBD JJ NNS WDT VBD DT NN NN NN IN DT JJ JJ JJ NN WDT DT NN VBD PRP TO VB PRP$ NN RP IN VBG RB RB , CC VBD TO VB DT JJ NNS VB CC VB PRP RP WRB DT NN RB VBD RP CC VBD DT NN IN PRP$ JJ NN ."
971,October is National Magic Month in the US .,NNP VBZ NNP NNP NNP IN DT NNP .
972,Formal Equivalence ( F - E ) and Dynamic Equivalence ( D - E ) .,NNP NNP -LRB- NNP HYPH NNP -RRB- CC NNP NNP -LRB- NNP HYPH NNP -RRB- .
973,I wanted to make sure that this styler actually contributes to the health of your hair .,PRP VBD TO VB JJ IN DT NN RB VBZ IN DT NN IN PRP$ NN .
974,"We all laughed at the idea , except for a chemist with a crooked nose and rouge caked in the creases of her face , who was incensed .","PRP DT VBD IN DT NN , IN IN DT NN IN DT JJ NN CC NN VBN IN DT NNS IN PRP$ NN , WP VBD VBN ."
975,She was staggered by the loss last year to the Cardinals .,PRP VBD VBN IN DT NN JJ NN IN DT NNPS .
976,"Or your prototype could be Mohandas Gandhi , sometimes called Mahatma Gandhi ( _ Mahatma _ is an honorific title ) ( Figure 7.3 ) .","CC PRP$ NN MD VB NNP NNP , RB VBN NNP NNP -LRB- `` NNP '' VBZ DT JJ NN -RRB- -LRB- NNP CD -RRB- ."
977,Bye !,UH .
978,Wake it up by clapping .,VB PRP RP IN VBG .
979,"For instance , among the 24 aesthetic categories of poetry listed by Sikong Tu _�空 _ ( 837 _ 908 ) in his celebrated treatise ( Sikong n.d. ) , only three or four categories can be regarded as related to the Western notion of beauty .","IN NN , IN DT CD JJ NNS IN NN VBN IN NNP NNP FW FW -LRB- CD : CD -RRB- IN PRP$ JJ NN -LRB- NNP NN -RRB- , RB CD CC CD NNS MD VB VBN IN JJ IN DT JJ NN IN NN ."
980,He was able to tap into the human condition and the situation at that time .,PRP VBD JJ TO VB IN DT JJ NN CC DT NN IN DT NN .
981,If Keeper is close to their hoops they are safe from being hit by bludgers .,IN NN VBZ RB IN PRP$ NNS PRP VBP JJ IN VBG VBN IN NNS .
982,"Um , so I think that she would , she would do fine with a cast .","UH , UH PRP VBP IN PRP MD , PRP MD VB JJ IN DT NN ."
983,THE MAYA,DT NNPS
984,"The population of _ódź soared from some 4,000 people in the 1830s and 40,000 in 1865 to over 300,000 inhabitants at the turn of the century , which was an unprecedented growth on a worldwide scale .","DT NN IN NNP VBD IN RB CD NNS IN DT NNS CC CD IN CD IN RB CD NNS IN DT NN IN DT NN , WDT VBD DT JJ NN IN DT JJ NN ."
985,"Space Shuttle Challenger was lost when it exploded 73 seconds after liftoff back on January 28 , 1986 killing all six aboard .","NNP NNP NNP VBD VBN WRB PRP VBD CD NNS IN NN RB IN NNP CD , CD VBG DT CD RB ."
986,How to Prepare Quinoa,WRB TO VB NN
987,"So you have your own equipment , but _","RB PRP VBP PRP$ JJ NN , CC :"
988,"A woman stood there , so bright and beautiful , in a sky - colored robe _ a heavens covered with","DT NN VBD RB , RB JJ CC JJ , IN DT NN HYPH JJ NN : DT NNS VBN IN"
989,Oh Mom .,UH NN .
990,"From all the press reports that I have read , the Indian government appears to have taken the threat of Cyclone Phailin very seriously indeed .","IN PDT DT NN NNS WDT PRP VBP VBN , DT JJ NN VBZ TO VB VBN DT NN IN NNP NNP RB RB RB ."
991,Four .,CD .
992,"Abymes nothing special to see , but the weekend , there are 3 local nightclubs : L'instant , Caraibes and Latin Club .","NNP NN JJ TO VB , CC DT NN , EX VBP CD JJ NNS : NNP , NNP CC NNP NNP ."
993,English is the dominant language in Phoenix .,NNP VBZ DT JJ NN IN NNP .
994,"This is important , because as we will show in § 6 below , some of the Eegimaa death prevention names and child - bearing names are given to Eegimaa people from other communities .","DT VBZ JJ , IN IN PRP MD VB IN SYM CD RB , DT IN DT NNP NN NN NNS CC NN HYPH NN NNS VBP VBN IN NNP NNS IN JJ NNS ."
995,This is followed by a repetition of the original statement by G .,DT VBZ VBN IN DT NN IN DT JJ NN IN NNP .
996,"List everything , big and small , that you have to do for your entire day ; break big activities into smaller bits if necessary .","VB NN , JJ CC JJ , WDT PRP VBP TO VB IN PRP$ JJ NN : VB JJ NNS IN JJR NNS IN JJ ."
997,"Well now , he was the one that was up on the left , up there .","UH RB , PRP VBD DT NN WDT VBD RB IN DT NN , RB RB ."
998,It was below zero .,PRP VBD IN CD .
999,"And , and the psychedelic experiences , and the subjective .","CC , CC DT JJ NNS , CC DT JJ ."
1000,I gently try to take them .,PRP RB VBP TO VB PRP .
1001,Oh !,UH .
1002,Good .,JJ .
1003,"Following the advice of his mentor Vilhelm Thomsen , he returned to Copenhagen in August 1888 and began work on his doctoral dissertation on the English case system .","VBG DT NN IN PRP$ NN NNP NNP , PRP VBD IN NNP IN NNP CD CC VBD NN IN PRP$ JJ NN IN DT JJ NN NN ."
