,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
782,Honey - glazed .,NN HYPH VBN .,NNP : VBN .,NNP HYPH VBN .,NN HYPH VBN .,NN HYPH JJ .,NNP : VBD .,NN HYPH VBN .
783,"And um , when you come then , to , uh , however this debate .","CC UH , WRB PRP VBP RB , IN , UH , RB DT NN .","CC NN , WRB PRP VBP RB , TO , UH , RB DT NN .","CC UH , WRB PRP VBP RB , IN , UH , RB DT NN .","CC UH , WRB PRP VBP RB , TO , UH , RB DT NN .","CC UH , WRB PRP VBP RB , TO , UH , RB DT NN .","CC PRP , WRB PRP VBP RB , TO , UH , RB DT NN .","CC UH , WRB PRP VBP RB , IN , UH , RB DT NN ."
784,"Consequently , he was for the remainder of his life in high favour with the Tsar , who confided to him the command of his capital during his absence from Russia .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NNP , WP VBD IN PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NNP , WP VBD TO PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NN , WP VBD IN PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NNP , WP VBD IN PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NNP , WP VBD IN PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NNP , WP VBD TO PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP .","RB , PRP VBD IN DT NN IN PRP$ NN IN JJ NN IN DT NNP , WP VBD IN PRP DT NN IN PRP$ NN IN PRP$ NN IN NNP ."
785,Is he talking any more ?,VBZ PRP VBG RB RBR .,VBZ PRP VBG DT JJR .,VBZ PRP VBG DT JJR .,VBZ PRP VBG DT RBR .,VBZ PRP VBG DT RBR .,VBZ PRP VBG DT JJR .,VBZ PRP VBG DT JJR .
786,"Yet the turning - point is past , and history begins anew for us , the history which we shall live and act and others will write about .","CC DT NN HYPH NN VBZ JJ , CC NN VBZ RB IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB IN .","CC DT VBG : NN VBZ JJ , CC NN VBZ RP IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB RB .","CC DT NN HYPH NN VBZ JJ , CC NN VBZ RB IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB RB .","CC DT NN HYPH NN VBZ JJ , CC NN VBZ RB IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB IN .","CC DT VBG HYPH NN VBZ NN , CC NN VBZ RB IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB IN .","RB DT VBG : NN VBZ JJ , CC NN VBZ RB IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB RB .","CC DT NN HYPH NN VBZ JJ , CC NN VBZ RB IN PRP , DT NN WDT PRP MD VB CC VB CC NNS MD VB IN ."
787,Early years,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS
788,How to Wash Overalls in a Washing Machine,WRB TO VB NNS IN DT VBG NN,WRB TO NNP NNP IN DT NNP NN,WRB TO VB NNS IN DT NN NN,WRB TO NNP NNPS IN DT NNP NN,WRB TO VB NNS IN DT NNP NNP,WRB TO NNP NNP IN DT NNP NN,WRB TO VB NNS IN DT NN NN
789,Wikinews interviewed one of the owners of a New York City bar about a popular new politically - themed cocktail drink called Santorum .,NNP VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB HYPH JJ NN NN VBN NNP .,NNS VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB : VBN NN NN VBN NNP .,NNP VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB HYPH VBN NN NN VBN NNP .,NNP VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB HYPH VBN NN NN VBN NNP .,NNP VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB HYPH VBN NN NN VBN NNP .,NNP VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB : PRP NN NN VBN NNP .,NNP VBD CD IN DT NNS IN DT NNP NNP NNP NN IN DT JJ JJ RB HYPH JJ NN NN VBN NNP .
790,"If necessary , set time - frames for your items to be done by .","IN JJ , VB NN HYPH NNS IN PRP$ NNS TO VB VBN IN .","IN JJ , VBN NN : NNS IN PRP$ NNS TO VB VBN IN .","IN JJ , VBN NN HYPH NNS IN PRP$ NNS TO VB VBN IN .","IN JJ , VBN NN HYPH NNS IN PRP$ NNS TO VB VBN IN .","IN JJ , VBN NN HYPH NNS IN PRP$ NNS TO VB VBN IN .","IN JJ , VBN NN : NNS IN PRP$ NNS TO VB VBN IN .","IN JJ , VB NN HYPH NNS IN PRP$ NNS TO VB VBN IN ."
791,"When the deceit was uncovered , however , the effect was just the opposite :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :","WRB DT NN VBD VBN , RB , DT NN VBD RB DT NN :"
792,Curry .,NN .,NNP .,NNP .,NNP .,NN .,NN .,NNP .
793,Very good .,RB JJ .,RB JJ .,RB JJ .,RB JJ .,RB JJ .,RB JJ .,RB JJ .
794,Blood smeared the back of his hand .,NN VBD DT NN IN PRP$ NN .,NN VBD DT NN IN PRP$ NN .,NN VBD DT NN IN PRP$ NN .,NN VBD DT NN IN PRP$ NN .,NN VBD DT NN IN PRP$ NN .,NN VBD DT NN IN PRP$ NN .,NN VBD DT NN IN PRP$ NN .
795,"When starting off , follow closely to a language you like .","WRB VBG RP , VB RB IN DT NN PRP VBP .","WRB VBG RP , VB RB TO DT NN PRP VBP .","WRB VBG RP , VB RB IN DT NN PRP VBP .","WRB VBG RP , VB RB IN DT NN PRP VBP .","WRB VBG RP , VB RB IN DT NN PRP VBP .","WRB VBG RP , VB RB TO DT NN PRP VBP .","WRB VBG RP , VB RB IN DT NN PRP VBP ."
796,"On the administrative level , the directors of the libraries participating in the consortium of Dutch academic libraries ( UKB ) also expressed the wish that librarians become more fluent in DH .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN JJ JJ NNS -LRB- NNP -RRB- RB VBD DT NN IN NNS VB RBR JJ IN NNP .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN NNP JJ NNS ( NNP ) RB VBD DT NN IN VBZ VBN RBR JJ IN NNP .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN JJ JJ NNS -LRB- NNP -RRB- RB VBD DT NN WDT NNS VBP RBR JJ IN NN .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN JJ JJ NNS -LRB- NNP -RRB- RB VBD DT NN IN NNS VBP RBR JJ IN NNP .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN JJ JJ NNS : NNP -RRB- RB VBD DT NN IN NNS VBP RBR JJ IN NNP .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN JJ JJ NNS -LRB- NN -RRB- RB VBD DT NN IN NNS VBP RBR JJ IN NNP .","IN DT JJ NN , DT NNS IN DT NNS VBG IN DT NN IN JJ JJ NNS -LRB- NNP -RRB- RB VBD DT NN IN NNS VBP RBR JJ IN NN ."
797,I have never been a quitter .,PRP VBP RB VBN DT NN .,PRP VBP RB VBN DT NN .,PRP VBP RB VBN DT NN .,PRP VBP RB VBN DT NN .,PRP VBP RB VBN DT NN .,PRP VBP RB VBN DT NN .,PRP VBP RB VBN DT NN .
798,"Yeah , well same ingredients .","UH , UH JJ NNS .","UH , RB JJ NNS .","UH , RB JJ NNS .","UH , UH JJ NNS .","UH , UH JJ NNS .","UH , UH JJ NNS .","UH , UH JJ NNS ."
799,Never drink and drive .,RB VB CC VB .,RB NN CC NN .,RB VB CC VB .,RB VB CC VB .,RB VB CC VB .,RB VB CC VB .,RB VB CC VB .
800,"He was one of the first opponents of the Vietnam War , and is a self - described Libertarian Socialist .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT NN HYPH VBN JJ NN .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT JJ : JJ JJ NNP .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT NN HYPH VBN NNP NNP .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT NN HYPH VBN NNP NNP .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT NN HYPH VBN NNP NNP .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT NN : VBD NNP NNP .","PRP VBD CD IN DT JJ NNS IN DT NNP NNP , CC VBZ DT NN HYPH VBN JJ NNP ."
801,"Mandatory mass evacuations have been carried out , which is essential to minimize loss of life in these situations .","JJ JJ NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS .","JJ NN NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS .","JJ NN NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS .","JJ NN NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS .","JJ NN NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS .","JJ NN NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS .","JJ JJ NNS VBP VBN VBN RP , WDT VBZ JJ TO VB NN IN NN IN DT NNS ."
802,All tropical cyclones lose strength once they make landfall .,DT JJ NNS VBP NN IN PRP VBP NN .,DT JJ NNS VBP NN IN PRP VBP NN .,DT JJ NNS VBP NN IN PRP VBP NN .,DT JJ NNS VBP NN IN PRP VBP JJ .,DT JJ NNS VBP NN IN PRP VBP NN .,DT JJ NNS VBP NN RB PRP VBP NN .,DT JJ NNS VBP NN IN PRP VBP NN .
803,"However , these are not adequate to cover errors in particular domains .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS .","RB , DT VBP RB JJ TO VB NNS IN JJ NNS ."
804,"In his observations of pin factories , Smith noticed that one worker alone might make 20 pins in a day , but that a small business of 10 workers ( some of whom would need to complete two or three of the 18 tasks involved with pin - making ) , could make 48,000 pins in a day .","IN PRP$ NNS IN NN NNS , NNP VBD IN CD NN RB MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS -LRB- DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN NN HYPH NN -RRB- , MD VB CD NNS IN DT NN .","IN PRP$ NNS IN NN NNS , NNP VBD IN CD NN RB MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS ( DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN JJ : NN ) , MD VB CD NNS IN DT NN .","IN PRP$ NNS IN NN NNS , NNP VBD IN CD NN JJ MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS -LRB- DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN NN HYPH NN -RRB- , MD VB CD NNS IN DT NN .","IN PRP$ NNS IN NN NNS , NNP VBD IN CD NN RB MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS -LRB- DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN NN HYPH NN -RRB- , MD VB CD NNS IN DT NN .","IN PRP$ NNS IN NN NNS , NNP VBD IN CD NN RB MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS , DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN NN HYPH NN -RRB- , MD VB CD NNS IN DT NN .","IN PRP$ NNS IN NN NNS , NNP VBD DT CD NN RB MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS -LRB- DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN NN : NN -RRB- , MD VB CD NNS IN DT NN .","IN PRP$ NNS IN NN NNS , NNP VBD IN CD NN RB MD VB CD NNS IN DT NN , CC IN DT JJ NN IN CD NNS -LRB- DT IN WP MD VB TO VB CD CC CD IN DT CD NNS VBN IN NN HYPH NN -RRB- , MD VB CD NNS IN DT NN ."
805,Just _,RB :,RB NN,RB -RRB-,RB :,RB DT,RB NNS,RB :
806,"Each day starts with one or more lectures by researchers , that address the conceptual knowledge needed .","DT NN VBZ IN CD CC JJR NNS IN NNS , WDT VBP DT JJ NN VBN .","DT NN VBZ IN CD CC JJR NNS IN NNS , WDT VBZ DT JJ NN VBN .","DT NN VBZ IN CD CC JJR NNS IN NNS , IN NN DT JJ NN VBN .","DT NN VBZ IN CD CC JJR NNS IN NNS , DT VBP DT JJ NN VBN .","DT NN VBZ IN CD CC JJR NNS IN NNS , WDT VBP DT JJ NN VBN .","DT NN VBZ IN CD CC JJR NNS IN NNS , WDT VBP DT JJ NN VBN .","DT NN VBZ IN CD CC JJR NNS IN NNS , WDT VBP DT JJ NN VBN ."
807,Nice pen .,JJ NN .,NNP NN .,JJ NN .,JJ NN .,JJ NN .,NNP NN .,JJ NN .
808,"And on our last day we were like "" we 're sleeping in "" .",CC IN PRP$ JJ NN PRP VBD RP `` PRP VBP VBG RP '' .,CC IN PRP$ JJ NN PRP VBD JJ NN PRP VBP VBG IN NNP .,CC IN PRP$ JJ NN PRP VBD IN `` PRP VBP VBG IN '' .,CC IN PRP$ JJ NN PRP VBD IN `` PRP VBP VBG IN '' .,CC IN PRP$ JJ NN PRP VBD IN `` PRP <UNK> VBG RB '' .,CC IN PRP$ JJ NN PRP VBD IN `` PRP VBP VBG IN '' .,CC IN PRP$ JJ NN PRP VBD RP `` PRP VBP VBG RP '' .
809,psychologists have examined the mental processes that underpin conscious and unconscious biases [ 6 ] ;,NNS VBP VBN DT JJ NNS WDT VBP JJ CC JJ NNS -LRB- CD -RRB- :,NNS VBP VBN DT JJ NNS WDT VBP JJ CC JJ NNS VBP CD NN :,NNS VBP VBN DT JJ NNS WDT VBP JJ CC JJ NNS -LRB- CD -RRB- :,NNS VBP VBN DT JJ NNS WDT VBP JJ CC JJ NNS -LRB- CD -RRB- :,NNS VBP VBN DT JJ NNS WDT VBP JJ CC JJ NNS -LRB- CD -RRB- :,NNS VBP VBN DT JJ NNS IN IN JJ CC JJ NNS VBP CD NN :,NNS VBP VBN DT JJ NNS WDT VBP JJ CC JJ NNS -LRB- CD -RRB- :
810,"This is , literally , my job description .","DT VBZ , RB , PRP$ NN NN .","DT VBZ , RB , PRP$ NN NN .","DT VBZ , RB , PRP$ NN NN .","DT VBZ , RB , PRP$ NN NN .","DT VBZ , RB , PRP$ NN NN .","DT VBZ , RB , PRP$ NN NN .","DT VBZ , RB , PRP$ NN NN ."
811,Melanie lies but _,NNP VBZ CC :,NNP VBZ CC NNP,"NNP VBZ CC ,",NNP VBZ CC :,NNP VBZ CC NFP,NNP VBZ CC NN,NNP VBZ CC :
812,1 cup ( 200 g ) sugar,CD NN -LRB- CD NNS -RRB- NN,CD NN ( CD NN ) NN,CD NN -LRB- CD NN -RRB- NN,CD NN -LRB- CD NNP -RRB- NN,CD NN SYM CD CD -RRB- NN,CD NN -LRB- CD NN -RRB- NN,CD NN -LRB- CD NNS -RRB- NN
813,"It is in many ways the birthplace of Classical Greece , and therefore of Western civilization .","PRP VBZ IN JJ NNS DT NN IN NNP NNP , CC RB IN JJ NN .","PRP VBZ IN JJ NNS DT NN IN NNP NNP , CC RB IN JJ NN .","PRP VBZ IN JJ NNS DT NN IN JJ NNP , CC RB IN JJ NN .","PRP VBZ IN JJ NNS DT NN IN NNP NNP , CC RB IN JJ NN .","PRP VBZ IN JJ NNS DT NN IN NNP NNP , CC RB IN JJ NN .","PRP VBZ IN JJ NNS DT NN IN NNP NNP , CC RB IN JJ NN .","PRP VBZ IN JJ NNS DT NN IN JJ NNP , CC RB IN JJ NN ."
814,"The actual repair operation in response to this interjection is usually simply repetition , sometimes with slight modification .","DT JJ NN NN IN NN IN DT NN VBZ RB RB NN , RB IN JJ NN .","DT JJ NN NN IN NN TO DT NN VBZ RB RB NN , RB IN JJ NN .","DT JJ NN NN IN NN IN DT NN VBZ RB RB NN , RB IN JJ NN .","DT JJ NN NN IN NN IN DT NN VBZ RB RB NN , RB IN JJ NN .","DT JJ NN NN IN NN IN DT NN VBZ RB RB NN , RB IN JJ NN .","DT JJ NN NN IN NN TO DT NN VBZ RB RB NN , RB IN JJ NN .","DT JJ NN NN IN NN IN DT NN VBZ RB RB NN , RB IN JJ NN ."
815,Um .,UH .,NNP .,UH .,UH .,UH .,UH .,UH .
816,Education and early loves,NN CC JJ NNS,NN CC JJ NNS,NN CC JJ NNS,NN CC JJ VBZ,NN CC JJ NNS,NNP CC JJ NNS,NN CC JJ NNS
817,It has been proposed that the relative mass of the CFL can be used as a proxy to estimate the relative importance of femoral retraction during locomotion in extinct bipedal dinosaurs [ 8 ] .,PRP VBZ VBN VBN IN DT JJ NN IN DT NN MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ JJ NNS -LRB- CD -RRB- .,PRP VBZ VBN VBN IN DT JJ NN IN DT NNP MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ NN VBZ $ CD NN .,PRP VBZ VBN VBN IN DT JJ NN IN DT NNP MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ JJ NNS -LRB- CD -RRB- .,PRP VBZ VBN VBN IN DT JJ NN IN DT NN MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ JJ NNS -LRB- CD -RRB- .,PRP VBZ VBN VBN IN DT JJ NN IN DT NNP MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ JJ NNS -LRB- CD -RRB- .,PRP VBZ VBN VBN IN DT JJ NN IN DT NNP MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ JJ NNS IN CD NN .,PRP VBZ VBN VBN IN DT JJ NN IN DT NN MD VB VBN IN DT NN TO VB DT JJ NN IN JJ NN IN NN IN JJ JJ NNS -LRB- CD -RRB- .
818,Paris also claims that her passport was taken away from her and she was forced to work in the engine room .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP CC PRP VBD VBN TO VB IN DT NN NN .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP$ CC PRP VBD VBN TO VB IN DT NN NN .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP CC PRP VBD VBN TO VB IN DT NN NN .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP CC PRP VBD VBN TO VB IN DT NN NN .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP CC PRP VBD VBN TO VB IN DT NN NN .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP CC PRP VBD VBN TO VB IN DT NN NN .,NNP RB VBZ IN PRP$ NN VBD VBN RB IN PRP CC PRP VBD VBN TO VB IN DT NN NN .
819,"This system is efficient and accurate , and it can be adapted to any academic discipline and used for continuous collection .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN IN DT JJ NN CC VBN IN JJ NN .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN TO DT JJ NN CC VBN IN JJ NN .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN IN DT JJ NN CC VBN IN JJ NN .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN IN DT JJ NN CC VBD IN JJ NN .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN IN DT JJ NN CC VBN IN JJ NN .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN TO DT JJ NN CC VBD IN JJ NN .","DT NN VBZ JJ CC JJ , CC PRP MD VB VBN IN DT JJ NN CC VBN IN JJ NN ."
820,"Daniel Bernoulli was born in Groningen , in the Netherlands , into a family of distinguished mathematicians .","NNP NNP VBD VBN IN NNP , IN DT NNPS , IN DT NN IN JJ NNS .","NNP NNP VBD VBN IN NNP , IN DT NNP , IN DT NN IN JJ NNS .","NNP NNP VBD VBN IN NNP , IN DT NNP , IN DT NN IN JJ NNS .","NNP NNP VBD VBN IN NNP , IN DT NNP , IN DT NN IN JJ NNS .","NNP NNP VBD VBN IN NNP , IN DT NNP , IN DT NN IN JJ NNS .","NNP NNP VBD VBN IN NNP , IN DT NNP , IN DT NN IN JJ NNS .","NNP NNP VBD VBN IN NNP , IN DT NNPS , IN DT NN IN JJ NNS ."
821,The beautiful harbour opposite the main town of Neiafu ( known as the Port of Refuge Harbour ) is a common destination for yachties sailing the South Pacific .,DT JJ NN IN DT JJ NN IN NNP -LRB- VBN IN DT NNP IN NNP NNP -RRB- VBZ DT JJ NN IN NNS VBG DT NNP NNP .,DT JJ NN IN DT JJ NN IN NNP ( VBN IN DT NNP IN NNP NNP ) VBZ DT JJ NN IN NNS VBG DT NNP NNP .,DT JJ NN IN DT JJ NN IN NNP -LRB- VBN IN DT NNP IN NNP NNP -RRB- VBZ DT JJ NN IN NNS VBG DT NNP NNP .,DT JJ NN IN DT JJ NN IN NNP -LRB- VBN IN DT NNP IN NNP NNP -RRB- VBZ DT JJ NN IN NNS VBG DT NNP NNP .,"DT JJ NN IN DT JJ NN IN NNP , VBN IN DT NNP IN NNP NNP , VBZ DT JJ NN IN NNS VBG DT NNP NNP .",DT JJ NN IN DT JJ NN IN NNP -LRB- VBN IN DT NNP IN NNP NNP -RRB- VBZ DT JJ NN IN NNS VBG DT NNP NNP .,DT JJ NN IN DT JJ NN IN NNP -LRB- VBN IN DT NNP IN NNP NNP -RRB- VBZ DT JJ NN IN NNS VBG DT NNP NNP .
822,"In a shady garden bed , simply scatter the seeds on the soil .","IN DT JJ NN NN , RB VB DT NNS IN DT NN .","IN DT JJ NN NN , RB VB DT NNS IN DT NN .","IN DT JJ NN NN , RB VBP DT NNS IN DT NN .","IN DT JJ NN NN , RB VB DT NNS IN DT NN .","IN DT JJ NN NN , RB VB DT NNS IN DT NN .","IN DT JJ NN NN , RB VB DT NNS IN DT NN .","IN DT JJ NN NN , RB VB DT NNS IN DT NN ."
823,Definitely old .,RB JJ .,RB JJ .,RB JJ .,RB JJ .,RB JJ .,RB JJ .,RB JJ .
824,"As a previous step to designing the mutation operators , we analyzed the main technologies used specifically in the development of GIS , and we identified typical errors a programmer can introduce during the development .","IN DT JJ NN IN VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NNS , CC PRP VBD JJ NNS DT NN MD VB IN DT NN .","IN DT JJ NN TO VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NNP , CC PRP VBD JJ NNS DT NN MD VB IN DT NN .","IN DT JJ NN IN VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NN , CC PRP VBD JJ NNS DT NN MD VB IN DT NN .","IN DT JJ NN IN VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NN , CC PRP VBD JJ NNS DT NN MD VB IN DT NN .","IN DT JJ NN IN VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NNP , CC PRP VBD JJ NNS DT NN MD VB IN DT NN .","IN DT JJ NN TO VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NNP , CC PRP VBD JJ NNS DT NN MD VB IN DT NN .","IN DT JJ NN IN VBG DT NN NNS , PRP VBD DT JJ NNS VBN RB IN DT NN IN NN , CC PRP VBD JJ NNS DT NN MD VB IN DT NN ."
825,"When the elements copper ( a shiny , red - brown solid , shown here as brown spheres ) and oxygen ( a clear and colorless gas , shown here as red spheres ) react , their atoms rearrange to form a compound containing copper and oxygen ( a powdery , black solid ) .","WRB DT NNS NN -LRB- DT JJ , JJ HYPH JJ NN , VBN RB IN JJ NNS -RRB- CC NN -LRB- DT JJ CC JJ NN , VBN RB IN JJ NNS -RRB- VBP , PRP$ NNS VBP TO VB DT NN VBG NN CC NN -LRB- DT JJ , JJ NN -RRB- .","WRB DT NNS NN ( DT NN , JJ : NN JJ , VBN RB IN JJ NNS ) CC NN ( DT JJ CC NN NN , VBN RB IN JJ NNS ) NN , PRP$ NNS VBP TO VB DT NN VBG NN CC NN ( DT NN , JJ NN ) .","WRB DT NNS NN -LRB- DT JJ , JJ HYPH JJ JJ , VBN RB IN JJ NNS -RRB- CC NN -LRB- DT JJ CC JJ NN , VBN RB IN JJ NNS -RRB- VBP , PRP$ NNS VBP TO VB DT NN VBG NN CC NN -LRB- DT JJ , JJ JJ -RRB- .","WRB DT NNS NN -LRB- DT JJ , JJ HYPH NN JJ , VBN RB IN JJ NNS -RRB- CC NN -LRB- DT JJ CC JJ NN , VBN RB IN JJ NNS -RRB- VB , PRP$ NNS VBP TO VB DT NN VBG NN CC NN -LRB- DT NN , JJ JJ -RRB- .","WRB DT NNS NN , DT JJ , JJ HYPH JJ JJ , VBN RB IN JJ NNS , CC NN , DT JJ CC JJ NN , VBN RB IN JJ NNS , VBP , PRP$ NNS VBP TO VB DT NN VBG NN CC NN , DT NN , JJ JJ -RRB- .","WRB DT NNS NN -LRB- DT NN , JJ : JJ JJ , VBN RB IN JJ NNS -RRB- CC NN -LRB- DT JJ CC JJ NN , VBN RB IN JJ NNS -RRB- VBP , PRP$ NNS VBP TO VB DT NN VBG NN CC NN -LRB- DT NN , JJ JJ -RRB- .","WRB DT NNS NN -LRB- DT JJ , JJ HYPH JJ NN , VBN RB IN JJ NNS -RRB- CC NN -LRB- DT JJ CC JJ NN , VBN RB IN JJ NNS -RRB- VBP , PRP$ NNS VBP TO VB DT NN VBG NN CC NN -LRB- DT JJ , JJ NN -RRB- ."
826,"They can cause property damage , create a mess , and produce unpleasant smells .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS .","PRP MD VB NN NN , VBP DT NN , CC VBP JJ NNS .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS .","PRP MD VB NN NN , VB DT NN , CC VB JJ NNS ."
