,sequence,pos,nltk,corenlp,opennlp,spacy,flair
599,test series stat reductions,VB NN NN NNS,VB NN NN NNS,VB NN NN NN,VB NNS NN NNS,VB NNS NN NNS,VB NN NN NNS
600,test eval,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
601,test type casting,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
602,test alignment,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
603,test operations,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
604,test math,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
605,test scope,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
606,test validate,VB VB,VB NN,VB VB,VB VB,VB VB,VB VB
607,test selection,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
608,test grouping,VB NN,VB NN,VB VBG,VB NN,VB VBG,VB NN
609,test get group,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
610,test iteration,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
611,test numeric only,VB JJ RB,VB JJ RB,VB VB RB,VB JJ RB,VB JJ RB,VB JJ RB
612,test engine,VB NN,VB NN,VB NN,VB NN,VB VB,VB NN
613,test counting,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
614,raising object exception,VBG NN NN,VBG NN NN,VB NN NN,JJ NN NN,VB NN NN,VBG NN NN
615,raising object,VBG NN,VBG NN,VB NN,JJ NN,VB NN,VBG NN
616,test group by,VB VB IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN
617,group var test mixin,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NNS,NN NN NN NN
618,test group var float64,VB NN NN NNP,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
619,test group var float32,VB NN NN NNP,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN FW,VB NN NN NN
620,test named aggregation series,VB JJ NN NN,VB VBN NN NN,VB JJ NN NN,VB VBN NN NNS,VB VBN NN NNS,VB JJ NN NN
621,test named aggregation data frame,VB JJ NN NNS NN,VB VBN NN NNS NN,VB VBN NN NNS JJ,VB VBN NN NNS NN,VB VBN NN NNS NN,VB JJ NN NNS NN
622,test lambda mangling,VB NN NN,VB NN NN,VB NN NN,VB NN JJ,VB NN NN,VB NN NN
623,fn class,NNP NN,VB NN,VB NN,VB NN,VB NN,NN NN
624,test data frame plots,VB NNS NN NNS,VB NNS NN NNS,VB NNS JJ NN,VB NNS NN NNS,VB NNS NN NNS,VB NNS NN NNS
625,test data frame group by plots,VB NNS NN VB IN NNS,VB NNS NN NN IN NNS,VB NNS JJ NN IN NN,VB NNS NN NN IN NNS,VB NNS NN NN IN NNS,VB NNS NN NN IN NNS
626,test series plots,VB NN NNS,VB NN NNS,VB NN NN,VB NNS NNS,VB NNS NNS,VB NN NNS
627,test ts plot,VB NNP NN,VB NN NN,VB NN NN,VB NNS NN,VB NN NN,VB NNS NN
628,test get standard colors,VB VB JJ NNS,VB VB JJ NNS,VB VB JJ NNS,VB VB NN NNS,VB VB JJ NNS,VB VB JJ NNS
629,test registration,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
630,test date time converter,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
631,test period converter,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
632,axis,NN,VB,VB,VBZ,NN,NN
633,test time delta converter,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
634,mock axis,VB NN,VB NNS,VB NN,VB NN,JJ NN,JJ NN
635,test data frame color,VB NNS NN NNP,VB NNS NN NN,VB NNS JJ NN,VB NNS NN NN,VB NNS NN NN,VB NNS NN NN
636,test hist with by,VB NNP IN IN,VB NN IN IN,VB NN IN IN,VB NN IN IN,VB NN IN IN,VB NN IN IN
637,test box with by,VB NN IN IN,VB NN IN IN,VB NN IN IN,VB NN IN IN,VB NN IN IN,VB NN IN IN
638,test data frame plots subplots,VB NNS NN NNS NNS,VB NNS NN JJ NNS,VB NNS JJ NN NN,VB NNS NN NNS NNS,VB NNS NN NN NNS,VB NNS NN NNS NNS
639,test data frame plots groupby,VB NN NN NNS NNP,VB NNS NN NNS NN,VB NNS JJ NN NN,VB NNS NN NNS IN,VB NNS NN NN NN,VB NNS NN NNS NN
640,test frame legend,VB NN NN,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB NN NN
641,test types,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
642,base,NN,NN,NN,NN,NN,NN
643,test pd api,VB NNP NNP,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB FW FW
644,test api,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NN
645,test errors,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
646,test util,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NN
647,test testing,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
648,test block,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
649,test block manager,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
650,test block placement,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
651,test can hold element,VB MD VB NN,VB MD VBP NN,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB MD VB NN
652,test should store,VB MD VB,VB MD VB,VB MD NN,VB MD NN,VB MD VB,VB MD VB
653,test pad backfill,VB VB NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
654,test infinity,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
655,test hash table unsorted,VB NN NN JJ,VB NN NN VBN,VB NN NN NN,VB NN NN JJ,VB NN NN VBN,VB NN NN JJ
656,test py object hash table with nans,VB NNP NN NN NN IN NNPS,VB FW NN NN NN IN NNS,VB FW NN NN NN IN NN,VB NN NN NN NN IN NNS,VB FW NN NN NN IN NNS,VB FW NN NN NN IN NNS
657,test hash table with nans,VB NN NN IN NNPS,VB NN NN IN NNS,VB NN NN IN NN,VB NN NN IN NNS,VB NN NN IN NNS,VB NN NN IN NNS
658,test help functions,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
659,test help functions with nans,VB NN NNS IN NNPS,VB NN NNS IN NNS,VB NN NNS IN NN,VB NN NNS IN NNS,VB NN NNS IN NNS,VB NN NNS IN NNS
660,test misc,VB NNP,VB NN,VB NN,VB JJ,VB NN,VB NN
661,test indexer,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
662,test config,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
663,test get dummies,VB VB NNS,VB VB NNS,VB VB NN,VB VB NNS,VB VB NNS,VB VB NNS
664,test union categoricals,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS
665,test cross tab,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
666,test cartesian product,VB JJ NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
667,test melt,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
668,test l reshape,VB FW VB,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB FW VB
669,test wide to long,VB JJ TO JJ,VB JJ TO JJ,VB NN TO NN,VB VB TO NN,VB NN TO NN,VB JJ TO NN
670,test pivot table,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN
671,mock unstacker,VB NN,JJ NNP,VB NN,VB JJ,JJ NN,JJ NN
672,test pivot,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
673,test merge multi,VB VB JJ,VB VB JJ,VB VB JJ,VB VB RB,VB VB RB,VB VB JJ
674,test join multi multi,VB VB JJ JJ,VB NN JJ NN,VB NN JJ JJ,VB NN RB JJ,VB VB RB RB,VB NN JJ JJ
675,test merge ordered,VB VB JJ,VB VB VBN,VB VB JJ,VB VB VBN,VB VB VBN,VB NN VBN
676,not a data frame,RB DT NNS NN,RB DT NNS NN,RB FW NNS JJ,RB FW NNS NN,RB FW NNS NN,RB DT NNS NN
677,test merge d types,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS,VB NN NN NNS
678,test merge categorical,VB VB JJ,VB VB JJ,VB VB NN,VB VB JJ,VB VB NN,VB VB JJ
679,test merge on indexes,VB VB IN NNS,VB VB IN NNS,VB VB IN NNS,VB VB IN VBG,VB VB IN NNS,VB VB IN NNS
680,test as of merge,VB IN IN VB,VB IN IN NN,VB IN IN NN,VB IN IN VB,VB IN IN NN,VB IN IN VB
681,test empty concat,VB JJ NN,VB JJ NN,VB JJ VB,VB JJ NN,VB JJ NN,VB JJ NN
682,test invalid concat,VB JJ NN,VB JJ NN,VB JJ VB,VB JJ NN,VB JJ NN,VB JJ NN
683,test datetime concat,VB NN NN,VB NN NN,VB JJ VB,VB NN NN,VB VB NN,VB NN NN
684,test timezone concat,VB NN NN,VB NN NN,VB NN VB,VB NN NN,VB NN NN,VB NN NN
685,test period concat,VB NN NN,VB NN NN,VB NN VB,VB NN NN,VB NN NN,VB NN NN
686,test concatenate,VB VB,VB NN,VB NN,VB NN,VB VB,VB VB
687,custom iterator 1,JJ NN CD,VB NN CD,JJ NN CD,NN NN CD,JJ NN CD,NN NN CD
688,custom iterator 2,JJ NN CD,VB NN CD,JJ NN CD,NN NN CD,JJ NN CD,NN NN CD
689,test concat append common,VB NN VB NN,VB NN VB JJ,VB VB VB JJ,VB NN VB JJ,VB VB VB JJ,VB NN VB JJ
690,test series concat,VB NN NN,VB NN NN,VB JJ VB,VB NNS NN,VB NNS NN,VB NN NN
691,test index concat,VB NN NN,VB NN NN,VB NN VB,VB NN NN,VB NN NN,VB NN NN
692,test multi index concat,VB JJ NN NN,VB JJ NN NN,VB JJ NN VB,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
693,test categorical concat,VB JJ NN,VB JJ NN,VB JJ VB,VB JJ NN,VB JJ NN,VB JJ NN
694,test concat sort,VB NN NN,VB NN NN,VB VB NN,VB NN NN,VB NN NN,VB NN NN
695,test data frame concat,VB NNS NN NN,VB NNS NN NN,VB NNS JJ VB,VB NNS NN JJ,VB NNS NN NN,VB NNS NN NN
696,test stata,VB NNP,VB NN,VB NN,VB NN,VB NNS,VB NN
697,test basic,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
698,test parquet py arrow,VB NN NNP NN,VB NN NN NN,VB VB FW NN,VB NN NN NN,VB NN FW NN,VB NN FW NN
699,test parquet fast parquet,VB NN JJ NN,VB NN RB VB,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN JJ NN
700,test compression,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
701,test protocol,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
702,mock read response,VB NN NN,JJ VB NN,VB VB NN,VB VB NN,JJ JJ NN,JJ VB NN
703,my tz,PRP$ NNP,PRP$ NN,VB NN,VB NN,NN FW,DT FW
704,custom fs path,JJ NNP NN,VB JJ NN,JJ NN NN,NN NN NN,JJ NN NN,NN NN NN
705,test common io capabilities,VB JJ NNP NNS,VB JJ NN NNS,VB JJ NN NN,VB JJ NN NNS,VB JJ NN NNS,VB JJ DT NNS
706,test m map wrapper,VB FW NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB FW NN NN,VB NN NN NN
707,test error,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
708,mock sqlite connection,VB NNP NN,VB JJ NN,VB JJ NN,VB NN NN,JJ NN NN,JJ NN NN
709,dummy exception,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
710,temporary,JJ,JJ,JJ,JJ,JJ,JJ
711,test,NN,VB,VB,VB,VB,VB
712,test memory fs,VB NN NNP,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NNS
713,test clipboard,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
714,test read html,VB VB NNP,VB NN NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
715,unseekable string io,JJ NNP NNP,JJ NN NN,VB NN NN,JJ NN NN,JJ NN IN,JJ NN NN
716,mock file,VB NN,NN NN,VB NN,NN NN,JJ NN,JJ NN
717,error thread,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
718,test feather,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
719,my mapping,PRP$ NN,PRP$ NN,VB NN,VB NN,DT NN,DT NN
720,test p print thing,VB NNP NN NN,VB FW FW NN,VB NN NN NN,VB NN NN NN,VB FW NN NN,VB FW NN NN
721,test format base,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
722,test data frame formatting,VB NNS NN NN,VB NNS NN NN,VB NNS JJ NN,VB NNS NN NN,VB NNS NN VBG,VB NNS NN VBG
723,a,FW,DT,NN,VB,FW,FW
724,test series formatting,VB NN NN,VB NN VBG,VB NN NN,VB NNS NN,VB NNS VBG,VB NN VBG
725,test generic array formatter,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
726,d type stub,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
727,ext type stub,NN NN NN,JJ NN NN,VB NN NN,VB NN NN,JJ NN NN,JJ NN NN
728,test float array formatter,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
729,test timedelta 64 formatter,VB NNP CD NN,VB NN CD NN,VB NN NN NN,VB NN NN NN,VB NN CD NN,VB NN CD NN
730,test datetime 64 formatter,VB NNP CD NN,VB NN CD NN,VB NN NN NN,VB NN NN NN,VB VB JJ NN,VB NN CD NN
731,test format percentiles,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS
732,test table schema repr,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
733,test html index,VB NNP NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN
734,test repr html,VB NN NNP,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN
735,test eng formatter,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
736,test to csv,VB TO NNP,VB TO NN,VB TO NN,VB TO VB,VB TO NN,VB TO NN
737,mock encoding,VB NN,JJ VBG,VB NN,JJ NN,JJ VBG,JJ NN
738,test data frame to string formatters,VB NNS NN TO NN NNS,VB NNS NN TO NN NNS,VB NNS JJ TO NN NN,VB NNS NN TO NN NNS,VB NNS NN TO NN NNS,VB NNS NN TO NN NNS
739,test data frame to string col space,VB NNS NN TO NN NNP NN,VB NNS NN TO NN NN NN,VB NNS JJ TO NN NN NN,VB NNS NN TO NN NN NN,VB NNS NN TO NN CC NN,VB NNS NN TO NN NN NN
740,test data frame to string header,VB NNS NN TO NN NN,VB NNS NN TO NN NN,VB NNS JJ TO NN NN,VB NNS NN TO NN NN,VB NNS NN TO NN NN,VB NNS NN TO NN NN
741,test data frame to string line width,VB NNS NN TO NN NN NN,VB NNS NN TO NN NN NN,VB NNS JJ TO NN NN NN,VB NNS NN TO NN NN NN,VB NNS NN TO NN NN NN,VB NNS NN TO NN NN NN
742,test to string numeric formatting,VB TO NN JJ NN,VB TO NN JJ NN,VB TO NN NN NN,VB TO NN JJ NN,VB TO NN JJ NN,VB TO NN JJ NN
743,test data frame to string,VB NNS NN TO NN,VB NNS NN TO NN,VB NNS JJ TO NN,VB NNS NN TO NN,VB NNS NN TO NN,VB NNS NN TO NN
744,test series to string,VB NN TO NN,VB NN TO NN,VB NN TO NN,VB NNS TO NN,VB NNS TO NN,VB NN TO NN
745,test to latex,VB TO NNP,VB TO NN,VB TO NN,VB TO NN,VB TO NNS,VB TO NN
746,test to latex long table,VB TO NNP JJ NN,VB TO VB JJ NN,VB TO NN NN NN,VB TO NN NN NN,VB TO NN NN NN,VB TO NN JJ NN
747,test to latex header,VB TO NNP NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NNS NN,VB TO JJ NN
748,test to latex bold,VB TO NNP NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN JJ
749,test to latex caption label,VB TO NN NN NN,VB TO JJ NN NN,VB TO NN NN NN,VB TO NN NN NN,VB TO NN NN NN,VB TO JJ NN NN
750,test to latex escape,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO JJ NN
751,test to latex position,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN
752,test to latex formatters,VB TO NN NNS,VB TO NN NNS,VB TO NN NN,VB TO NN NNS,VB TO NN NNS,VB TO JJ NNS
753,test to latex multiindex,VB TO NN NNP,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO JJ NN
754,custom styler,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,NN NN
755,test styler,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
756,test x port,VB FW NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
757,test sas,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NNS
758,test sas 7 b dat,VB NNP CD CD NNP,VB NN CD FW NN,VB NN CD NN NN,VB NN CD FW NN,VB NN CD FW NN,VB NN CD FW NN
759,test hdf store subclass,VB NNP NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
760,test read py tables hdf5,VB VB NNP NNS NNP,VB VB FW NNS NN,VB VB FW NNS NN,VB VB FW NNS NN,VB VB FW NNS CD,VB VB FW NNS NN
761,table 1,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
762,table 2,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
763,table 3,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
764,test readers,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
765,test excel file read,VB NNP NN NN,VB NN NN VB,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VB
766,test round trip,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
767,test excel writer,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB VB NN
768,test excel writer engine tests,VB NNP NN NN NNS,VB JJ NN NN NNS,VB NN NN NN NNS,VB NN NN NN NNS,VB NN NN JJ NNS,VB NN NN NN NNS
769,dummy class,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
770,test fs path,VB NNP NN,VB JJ NN,VB NN NN,VB NN NN,VB FW NN,VB FW NN
771,test build schema,VB VB NN,VB NN NN,VB VB NN,VB VB NN,VB NN NN,VB VB NN
772,test table schema type,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
773,test table orient,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
774,test table orient reader,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN JJ NN,VB NN NN NN,VB NN JJ NN
775,my reader,PRP$ NN,PRP$ NN,VB NN,VB NN,MD NN,DT NN
776,test pandas container,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NNS NN
777,binary thing,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
778,test object,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
779,test json normalize,VB NNP VB,VB NNP VB,VB NNP VB,VB NNP NN,VB NNP NN,VB NNP VB
780,test nested to record,VB VBN TO VB,VB JJ TO NN,VB JJ TO NN,VB JJ TO NN,VB JJ TO NN,VB VBN TO VB
781,test ultra json tests,VB JJ NNP NNS,VB JJ NNP NNS,VB NN NNP NNS,VB NN NNP NNS,VB VB NNP NNS,VB JJ NNP NNS
782,o 2,FW CD,VBZ CD,NN CD,NN CD,FW CD,FW CD
783,o 1,FW CD,VBZ CD,NN CD,NN CD,FW CD,FW CD
784,dict test,NN NN,VB NN,VB NN,VB VB,VB NN,VB NN
785,test numpy json tests,VB NNP NNP NNS,VB JJ NNP NNS,VB NN NNP NNS,VB NN NNP NNS,VB NNS NNP NNS,VB JJ NNP NNS
786,test pandas json tests,VB NNP NNP NNS,VB JJ NNP NNS,VB NN NNP NNS,VB NNS NNP NNS,VB NN NNP NNS,VB NNS NNP NNS
787,invalid dialect,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,JJ NN
788,base parser,JJ NN,NN NN,NN NN,NN NN,VB NN,NN NN
789,c parser,NNP NN,VB NN,NN NN,NN NN,FW NN,FW NN
790,c parser high memory,NNP NN JJ NN,VB NN JJ NN,NN NN NN NN,NN NN NN NN,FW NN JJ NN,FW NN JJ NN
791,c parser low memory,NNP NNP NNP NNP,VB NN JJ NN,NN NN JJ NN,NN NN JJ NN,FW NN JJ NN,FW NN JJ NN
792,python parser,NNP NN,VB NN,NN NN,NN NN,VB NN,NN NN
793,py arrow parser,NNP NN NN,VB VB NN,FW FW NN,VB NN NN,FW VB NN,FW NN NN
794,test s 3,VB FW CD,VB FW CD,VB FW CD,VB FW CD,VB FW CD,VB FW CD
795,no next buffer,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN
796,test text reader,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
797,test unsupported features,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
798,invalid buffer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
799,no seek tell buffer,DT VB VB NN,DT JJ NN NN,DT VB NN NN,DT NN NN NN,DT JJ NN NN,DT VB NN NN
800,my text file reader,PRP$ NN NN NN,PRP$ NN NN NN,VB NN NN NN,JJ NN NN NN,DT NN NN NN,DT NN NN NN
801,my c parser wrapper,PRP$ NNP NN NN,PRP$ NN NN NN,VB NN NN NN,VB NN NN NN,FW FW NN NN,DT FW NN NN
802,test is na,VB VBZ NNP,VB VBZ NN,VB VBZ NN,VB VBZ NN,VB VBZ JJ,VB VBZ FW
803,test na obj,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB FW NN
804,test lib missing,VB NN VBG,VB NN VBG,VB NN VBG,VB NN VBG,VB NN JJ,VB NN VBG
805,test is valid na for d type,VB VBZ JJ NNP IN NN NN,VB VBZ JJ NN IN NN NN,VB VBZ JJ NN IN NN NN,VB VBZ JJ NN IN NN NN,VB VBZ JJ FW IN NN NN,VB VBZ JJ FW IN NN NN
806,test numpy ead type,VB NNP NNP NN,VB JJ NN NN,VB NN NN NN,VB NN JJ NN,VB NNS NN NN,VB JJ NN NN
807,not tzd type,RB NNP NN,RB JJ NN,RB JJ NN,RB VB NN,RB IN NN,RB FW NN
808,my numeric d type,PRP$ JJ NN NN,PRP$ JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN,DT NN NN NN
809,mock numpy like array,VB NNP IN NN,VB NNS IN NN,VB NN IN NN,VB NN IN NN,JJ NNS IN NN,JJ JJ IN NN
810,not list like,RB NN IN,RB VB IN,RB VB IN,RB VB IN,RB VB IN,RB NN IN
811,my data frame,PRP$ NN NN,PRP$ NNS NN,VB NNS JJ,VB NNS NN,DT NNS NN,DT NNS NN
812,d type list,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
813,dict like,NN IN,VB IN,VB IN,VB IN,VB IN,NN IN
814,hashable class,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
815,unhashable class 1,JJ NN CD,JJ NN CD,VB NN CD,JJ NN CD,JJ NN CD,JJ NN CD
816,unhashable class 2,JJ NN CD,JJ NN CD,VB NN CD,JJ NN CD,JJ NN CD,JJ NN CD
817,test inference,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
818,test type inference,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
819,dummy,JJ,VB,VB,VB,VB,NN
820,test number scalar,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
821,test is scalar,VB VBZ NN,VB VBZ NN,VB VBZ NN,VB VBZ NN,VB VBZ JJ,VB VBZ NN
822,numeric,NN,JJ,VB,JJ,JJ,NN
823,test categorical d type,VB JJ NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN
824,test datetime tzd type,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
825,test period d type,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
826,test interval d type,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
827,test categorical d type parametrized,VB JJ NN NN VBN,VB JJ NN NN VBN,VB NN NN NN NN,VB NN NN NN VBN,VB JJ NN NN VBN,VB JJ NN NN VBN
828,test abc classes,VB NNP NNS,VB NN NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB NN NNS
829,test data frame constructors,VB NNS NN NNS,VB NNS NN NNS,VB NNS JJ NNS,VB NNS NN NNS,VB NNS JJ NNS,VB NNS NN NNS
830,dummy container,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
831,iter,NN,NN,VB,NN,NN,NN
832,custom dict,JJ NN,VB NN,JJ NN,JJ JJ,JJ NN,JJ NN
833,list,NN,VB,VB,VB,VB,VB
834,datetime subclass,NN NN,NN NN,VB NN,NN NN,VB NN,NN NN
835,test data frame constructor index inference,VB NNS NN NN NN NN,VB NNS NN NN NN NN,VB NNS JJ NN NN NN,VB NNS NN NN NN NN,VB NNS NN NN NN NN,VB NNS NN NN NN NN
836,test data frame constructor with d type coercion,VB NNS NN NN IN NN NN NN,VB NNS NN NN IN NN NN NN,VB NNS JJ NN IN NN NN NN,VB NNS NN NN IN NN NN NN,VB NNS NN NN IN NN NN NN,VB NNS NN NN IN NN NN NN
837,test data frame constructor with datetime tz,VB NNS NN NN IN NN NNP,VB NNS NN NN IN NN NN,VB NNS JJ NN IN JJ NN,VB NNS NN NN IN NN NN,VB NNS NN NN IN NN FW,VB NNS NN NN IN NN FW
838,test from scalar,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
839,test allow non na no,VB VB RB NNP NNP,VB VB RB JJ DT,VB NN RB JJ DT,VB NN RB JJ DT,VB JJ RB VBN DT,VB VB RB FW DT
840,test data frame nonunique indexes,VB NNS NN JJ NNS,VB NNS NN JJ NNS,VB NNS JJ NN NNS,VB NNS NN JJ NNS,VB NNS NN JJ NNS,VB NNS NN JJ NNS
841,test data frame subclassing,VB NNS NN NN,VB NNS NN NN,VB NNS JJ NN,VB NNS NN NN,VB NNS NN NN,VB NNS NN VBG
842,custom series,JJ NN,VB NN,JJ NN,JJ NNS,JJ NNS,NN NN
843,custom data frame,JJ NNS NN,VB NNS NN,JJ NNS JJ,JJ NNS NN,JJ NNS NN,JJ NNS NN
844,my subclass with metadata,PRP$ NN IN NN,PRP$ NN IN NNS,VB NN IN NNS,VB NN IN NNS,MD NN IN NNS,DT NN IN NNS
845,simple data frame sub class,JJ NNS NN NN NN,VB NNS NN JJ NN,JJ NNS JJ JJ NN,JJ NNS JJ JJ NN,JJ NNS JJ JJ NN,VB NNS NN JJ NN
846,simple series sub class,JJ NN NN NN,JJ NN JJ NN,JJ NN JJ NN,JJ NNS JJ NN,JJ NNS JJ NN,JJ NN JJ NN
